Albania;ALB;      8
Armenia;ARM;     51
Australia;AUS;     36
Austria;AUT;     40
Azerbaijan;AZE;     31
Bahrain;BHR;     48
Belgium (Flemish);BFL;    956
Belgium (French);BFR;    957
Bosnia & Herzegovina;BIH;     70
Brazil;BRA;     76
Bulgaria;BGR;    100
Canada;CAN;    124
Chile;CHL;    152
Chinese Taipei;TWN;    158
Cote d'Ivoire;CIV;    384
Cyprus;CYP;    196
Czech Republic;CZE;    203
Denmark;DNK;    208
England;ENG;    926
Finland;FIN;    246
France;FRA;    250
Georgia;GEO;    268
Germany;DEU;    276
Hong Kong SAR;HKG;    344
Hungary;HUN;    348
Iran, Islamic Rep. of;IRN;    364
Ireland;IRL;    372
Israel;ISR;    376
Italy;ITA;    380
Japan;JPN;    392
Jordan;JOR;    400
Kazakhstan;KAZ;    398
Korea, Rep. of;KOR;    410
Kosovo;XKX;    411
Kuwait;KWT;    414
Latvia;LVA;    428
Lithuania;LTU;    440
Macao SAR;MAC;    446
Malaysia;MYS;    458
Malta;MLT;    470
Montenegro;MNE;    499
Morocco;MAR;    504
Netherlands;NLD;    528
New Zealand;NZL;    554
North Macedonia;MKD;    807
Norway;NOR;    578
Oman;OMN;    512
Palestinian Nat'l Auth.;PSE;    275
Poland;POL;    616
Portugal;PRT;    620
Qatar;QAT;    634
Romania;ROM;    642
Saudi Arabia;SAU;    682
Serbia;SRB;    688
Singapore;SGP;    702
Slovak Republic;SVK;    703
Slovenia;SVN;    705
South Africa;ZAF;    710
Spain;ESP;    724
Sweden;SWE;    752
Türkiye;TUR;    792
United Arab Emirates;ARE;    784
United States;USA;    840
Uzbekistan;UZB;    860
Ontario, Canada;COT;   9132
Quebec, Canada;CQU;   9133
Abu Dhabi, UAE;AAD;   7842
Dubai, UAE;ADU;   7841
Sharjah, UAE;ASH;   7843
